repo_name, access
Trade-Efficiencies-CRD/OTPP.CRD.Compliance.TIBCO.ChinaDayTradingComplianceCheck, admin
Trade-Efficiencies-CRD/OTPP.CRD.Compliance.TIBCO.ChinaDayTradingComplianceCheckTransformer, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.CRDBulkUploadAddIn, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.CRDInternalCross, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.CRDRestrictions, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.ExpiryProcessor, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.InternalShorts, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.InternalShorts_Server, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.OptionsExpiry, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.Options_Expiry_Blotter_Button, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.OTPP.Crd.Workflow, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.RevertOrders, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.SendToAccounting, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.SendToPostTrade, admin
Trade-Efficiencies-CRD/OTPP.CRD.Customization.SendToPostTradeAcct, admin
Trade-Efficiencies-CRD/OTPP.CRD.Service.CRDDataService, admin
Trade-Efficiencies-CRD/OTPP.CRD.Service.CRDDataServiceClient, admin
Trade-Efficiencies-CRD/OTPP.CRD.Service.CRDDataServiceIntegrationTest, admin
Trade-Efficiencies-CRD/OTPP.CRD.TIBCO.CRDNDFFixingDateAlert, admin
Trade-Efficiencies-CRD/OTPP.CRD.TIBCO.CRDOutboundSES, admin
Trade-Efficiencies-CRD/OTPP.CRD.TIBCO.CRDPostTradeAction, admin
Trade-Efficiencies-CRD/OTPP.CRD.Tool.HolidayCalendarXmlGenerator, admin